source_id,name,type,school,org_type,url,extra
infonews_lecture,交大公告-演講課程,infonews_category,nycu,official,https://infonews.nycu.edu.tw/,SuperType=6
infonews_arts,交大公告-藝文體育,infonews_category,nycu,official,https://infonews.nycu.edu.tw/,SuperType=7
infonews_other,交大公告-其他活動,infonews_category,nycu,official,https://infonews.nycu.edu.tw/,SuperType=9
nthu_bulletin_arts,清大公告-藝文活動,rpage_list,nthu,official,https://bulletin.site.nthu.edu.tw/p/403-1086-5083-1.php?Lang=zh-tw,
nycu_life_api,NYCU LIFE 活動系統,api,nycu,official,https://events.life.nycu.edu.tw/api/activities,
nthu_dsa_important,清大課外活動組-重要公告,rpage_list,nthu,official,https://dsa.site.nthu.edu.tw/p/403-1266-6887-1.php?Lang=zh-tw,
nthu_dsa_general,清大課外活動組-一般公告,rpage_list,nthu,official,https://dsa.site.nthu.edu.tw/p/403-1266-6890-1.php?Lang=zh-tw,
nthu_cac_events,清大藝術文化總中心-當期展演節目,rpage_list,nthu,official,https://cac.site.nthu.edu.tw/p/403-1549-9475-1.php?Lang=zh-tw,
nthu_cac_museum,清大藝術文化總中心-美術館節目,rpage_list,nthu,official,https://cac.site.nthu.edu.tw/p/403-1549-9881-1.php?Lang=zh-tw,
nthu_peo_news,清大體育室-最新消息,rpage_list,nthu,official,https://nthupeo.site.nthu.edu.tw/p/403-1265-11-1.php?Lang=zh-tw,
nthu_rcollege_news,清大住宿書院-最新公告,rpage_list,nthu,official,https://rcollege.site.nthu.edu.tw/p/403-1103-6160-1.php?Lang=zh-tw,
nthu_oga_news,清大國際處-最新消息,rpage_list,nthu,official,https://oga.site.nthu.edu.tw/p/403-1524-8945-1.php?Lang=zh-tw,
nycu_arts_center,交大藝文中心,wp_api,nycu,official,https://arts.nycu.edu.tw,
