school,club_name,category,notes
nthu,經濟系會,自治性,
nthu,畢業生聯誼會,自治性,
nthu,教科系系學會,自治性,
nthu,工工系會,自治性,
nthu,工科系會,自治性,
nthu,數學系會,自治性,
nthu,物理系會,自治性,
nthu,化學系會,自治性,
nthu,材料系會,自治性,
nthu,化工系會,自治性,
nthu,動機系會,自治性,
nthu,外語系會,自治性,
nthu,生科系會,自治性,
nthu,醫環系會,自治性,
nthu,計財系會,自治性,
nthu,科管院學士班,自治性,
nthu,人社院學士班,自治性,
nthu,原科院學士班,自治性,
nthu,光電所學生會,自治性,
nthu,清華學院學士班,自治性,
nthu,特教系系學會,自治性,
nthu,運動科學系系學會,自治性,
nthu,幼教系系學會,自治性,
nthu,心諮系系學會,自治性,
nthu,藝設系系學會,自治性,
nthu,英教系系學會,自治性,
nthu,竹師教育學院學士班系學會,自治性,
nthu,清華學院國際學士班學會,自治性,
nthu,電資院學士班國際組學生會,自治性,
nthu,原住民文化社,服務性A,
nthu,救護與急救推廣社,服務性A,
nthu,福智青年社,服務性A,
nthu,基層文化服務社,服務性A,
nthu,科學服務社,服務性A,
nthu,懷幼社,服務性A,
nthu,親善大使團,服務性A,
nthu,崇德青年志工社,服務性A,
nthu,耕星社,服務性A,
nthu,照顧與送養貓貓社,服務性A,
nthu,合唱團,音樂性,
nthu,人聲樂創社,音樂性,
nthu,鋼琴社,音樂性,
nthu,弦樂社,音樂性,
nthu,直笛魅力四社,音樂性,
nthu,古箏社,音樂性,
nthu,國樂社,音樂性,
nthu,口琴社,音樂性,
nthu,烏克麗麗社,音樂性,
nthu,DJ社,音樂性,
nthu,烹飪社,技藝性,
nthu,日本麻將研究社,技藝性,
nthu,西洋棋社,技藝性,
nthu,RoS甜點廚房,技藝性,
nthu,橋藝社,技藝性,
nthu,象棋社,技藝性,
nthu,飲品藝術研習社,技藝性,
nthu,桌上遊戲社,技藝性,
nthu,卡牌遊戲社,技藝性,
nthu,清檸新聞小組,技藝性,
nthu,紫微斗數研究社,技藝性,
nthu,區塊鏈研究社,學術性A,
nthu,清大音樂文化發展社,學術性A,
nthu,經濟商管學生會,學術性A,
nthu,理財投資研習社,學術性A,
nthu,商業研究社,學術性A,
nthu,ACG蔓延社,學術性A,
nthu,iGEM基因工程研究社,學術性A,
nthu,管理顧問社,學術性A,
nthu,資料科學社,學術性A,
nthu,霍特獎社,學術性A,
nthu,台灣戰略暨兵棋推演研究社,學術性A,
nthu,多元收入研究社,學術性A,
nthu,精算風險研究社,學術性A,
nthu,永續行動社,學術性A,
nthu,生醫工程創新創業社,學術性A,
nthu,玻璃工藝社,藝術性,
nthu,清華旗隊,藝術性,
nthu,自造者社,藝術性,
nthu,遊戲創作社,藝術性,
nthu,光畫社,藝術性,
nthu,當代舞蹈社,藝術性,
nthu,表演劇樂部,藝術性,
nthu,書藝社,藝術性,
nthu,世界民族舞蹈社,藝術性,
nthu,熱門舞蹈社,藝術性,
nthu,光舞藝術社,藝術性,
nthu,花格子手作社,藝術性,
nthu,京劇社,藝術性,
nthu,獸文化社,藝術性,
nthu,ACGN次文化社,藝術性,
nthu,射箭社,體育性A,
nthu,散打搏擊社,體育性A,
nthu,跆拳道社,體育性A,
nthu,瑜珈社,體育性A,
nthu,壘球社,體育性A,
nthu,潛水社,體育性A,
nthu,溜冰社,體育性A,
nthu,擊劍社,體育性A,
nthu,撞球社,體育性A,
nthu,現代弓射箭社,體育性A,
nthu,保齡球社,體育性A,
nthu,匹克球社,體育性A,
nthu,梅竹工作會,功能性,
nthu,梅竹籌委會,功能性,
nthu,校園導覽小組,功能性,
nthu,梅竹火力班,功能性,
nthu,南友會,綜合性,
nthu,原住民清華村社,綜合性,
nthu,僑生聯誼會,綜合性,
nthu,雄友會,綜合性,
nthu,外籍生聯誼會,綜合性,
nthu,轉學生聯誼會同好會,綜合性,
nthu,附友會,綜合性,
nthu,中山校友會,綜合性,
nthu,宜蘭校友會,綜合性,
nthu,港澳同學會,綜合性,
nthu,慈濟青年社,服務性B,
nthu,教育服務團,服務性B,
nthu,快樂兒童社,服務性B,
nthu,課輔志工社,服務性B,
nthu,羅浮童子軍群,服務性B,
nthu,藍天社,服務性B,
nthu,關懷生命社,服務性B,
nthu,慧鐘社,學術性B,
nthu,信望愛社(南大),學術性B,
nthu,夢想方程式社,學術性B,
nthu,禪學社,學術性B,
nthu,彩虹同志社,學術性B,
nthu,柏克萊學生團契,學術性B,
nthu,中國工程師學會清華分會,學術性B,
nthu,自然保育社,學術性B,
nthu,韓語交流文化學習社,學術性B,
nthu,聖經研習社,學術性B,
nthu,信望愛團契,學術性B,
nthu,青年領袖研習社,學術性B,
nthu,學園團契社,學術性B,
nthu,禪學社(南大),學術性B,
nthu,拾善團,學術性B,
nthu,閱人咖啡館社,學術性B,
nthu,空氣槍射擊社,體育性B,
nthu,法輪大法社,體育性B,
nthu,網球社,體育性B,
nthu,啦啦隊,體育性B,
nthu,跑酷社,體育性B,
nthu,慢跑社,體育性B,
nthu,健身社,體育性B,
nthu,雲林嘉義校友會,綜合性,
nthu,NTHU Muslim Students Association,綜合性,
nthu,越南學生聯誼會,綜合性,
nthu,泰國學生聯誼會同好會,綜合性,
nthu,馬來西亞同學會,綜合性,
nthu,印度學生聯誼會,綜合性,
nthu,日本學生聯誼會,綜合性,
nycu,中部地區校友會,綜合性社團,光復校區；英文名 Central Region Alumni Association
nycu,醫學系學生會,學生自治組織,陽明校區
nycu,日出電影社,學藝性社團,陽明校區
nycu,國立陽明交通大學棒球社,體能性社團,陽明校區；英文名 NYCU Baseball Club
nycu,陽明軟式網球社,體能性社團,陽明校區；英文名 soft tennis club
nycu,國立陽明交通大學皮藝社,學藝性社團,陽明校區；英文名 NYCU Leathercraft
nycu,調酒文化研究社,學藝性社團,陽明校區
nycu,羊大隨彩社,學藝性社團,陽明校區；英文名 Painting Club
nycu,陽明合唱團,學藝性社團,陽明校區
nycu,民族舞蹈社,康樂性社團,陽明校區；英文名 YMFD
nycu,勵青社,服務性社團,陽明校區；英文名 IF Club
nycu,十字軍社,服務性社團,陽明校區
nycu,關懷生命社,服務性社團,陽明校區；英文名 Life Care Club
nycu,陽明交通大學青少年幼兒服務社,服務性社團,陽明校區；英文名 National Yang Ming Chiao Tung chingeuo club
nycu,生物醫學影像暨放射科學系學生會,學生自治組織,陽明校區
nycu,交通分會,學生會,光復校區
nycu,慈濟青年社,服務性社團,光復校區；英文名 Tzu Chi Youth Club
nycu,汪汪社,服務性社團,光復校區；英文名 Wan-Wan Club
nycu,Smrangi山福團,服務性社團,光復校區；英文名 Smrangi SanFu Club
nycu,崇德青年志工社,服務性社團,光復校區；英文名 C.D. Youth Volunteers Club
nycu,學園團契社,服務性社團,光復校區；英文名 Campus Crusade for Christ Club
nycu,福智青年社,學術性社團,光復校區；英文名 Bliss &amp; Wisdom Youth Club
nycu,鐵道研究會,學術性社團,光復校區；英文名 Rail Institute
nycu,天文研究社,學術性社團,光復校區；英文名 Astronomy Club
nycu,柏克萊學生團契,學術性社團,光復校區；英文名 Koinonia
nycu,創新創業社,學術性社團,光復校區；英文名 Innovation and Entrepreneurship Club
nycu,夢想方程式,學術性社團,光復校區；英文名 Dream Life Club
nycu,中智佛學社,學術性社團,光復校區；英文名 Middle Way Wisdom Club
nycu,投資理財社,學術性社團,光復校區；英文名 Investment Club
nycu,交大信望愛社,學術性社團,光復校區；英文名 Faith Hope Love Club
nycu,聖經研習社,學術性社團,光復校區；英文名 Bible Studying Club
nycu,交通分會學生議會,學生會,光復校區
nycu,舞臺效果藝術社,學藝性社團,陽明校區；英文名 Stage Lighting Effects Art Club
nycu,火舞社,康樂性社團,光復校區；英文名 Fire Dance Club
nycu,硬式網球社,體能性社團,陽明校區
nycu,生命科學系系學會,學生自治組織,陽明校區；英文名 YMLS
nycu,陽明校區師大附中校友會,綜合性社團,陽明校區
nycu,陽明瑜珈社,體能性社團,陽明校區；英文名 Yang-Ming Yoga Club
nycu,鋼琴社(陽明校區),學藝性社團,陽明校區；英文名 NYCU Piano Club (Yang Ming)
nycu,愛呀，你好！社,服務性社團,"陽明校區；英文名 Hello, Love Club"
nycu,烘焙研究社,學藝性社團,陽明校區；英文名 Baking Club
nycu,游泳社,體能性社團,陽明校區；英文名 National Yang-Ming Chiao-Tung University Swimming Club
nycu,陽明信望愛社,學術性社團,陽明校區；英文名 Yang Ming Faith Hope Love Club
nycu,詩歌真理社,學術性社團,陽明校區；英文名 Hymn&amp;truth
nycu,愛杏管弦樂團,學藝性社團,陽明校區；英文名 Aising Orchestra
nycu,咸池國樂社,學藝性社團,陽明校區；英文名 YM Chinese Orchestra
nycu,國立陽明交通大學射箭社(陽明分部),體能性社團,陽明校區；英文名 National Yang Ming Chiao Tung University Archery Club(Yang Ming Archery Club)
nycu,陽明分會學生議會,學生會,陽明校區
nycu,蛋糕社,學藝性社團,光復校區
nycu,女桌社,體能性社團,光復校區
nycu,電子競技社,體能性社團,光復校區
nycu,滑板社,體能性社團,光復校區
nycu,高雄屏東校友會,綜合性社團,光復校區
nycu,轉學生聯誼會,綜合性社團,光復校區
nycu,虛擬偶像社,學藝性社團,光復校區；英文名 VTuber Club
nycu,魔術方塊社,學藝性社團,光復校區；英文名 Rubik&#39;s Cube Club
nycu,國際大使團112,綜合性社團,陽明校區；英文名 International Student Ambassador Group (ISAG)
nycu,嘉義雲林校友會,綜合性社團,光復校區
nycu,桃園地區友好會,綜合性社團,光復校區
nycu,附中山校友會,綜合性社團,光復校區
nycu,管樂團,音樂戲劇性社團,光復校區
nycu,單車社,體能性社團,光復校區
nycu,撞球社,體能性社團,光復校區
nycu,跆拳社(交大校區),體能性社團,光復校區
nycu,達磨禪學社,學藝性社團,光復校區
nycu,美術社,學藝性社團,光復校區
nycu,藝趣節團隊,學藝性社團,光復校區
nycu,飲料調製社,學藝性社團,光復校區
nycu,桌上遊戲社(交大校區),康樂性社團,光復校區
nycu,機械工程學系學生會,學生自治組織,光復校區
nycu,青年⽅程式賽⾞隊,任務性社團,光復校區
nycu,東南亞國際志工團,任務性社團,光復校區
nycu,印度國際志工團,任務性社團,光復校區
nycu,科技教育研討社,任務性社團,光復校區
nycu,伊斯蘭學生社,任務性社團,光復校區
nycu,程式競賽社,任務性社團,光復校區
