club_name,category,year,source_url,notes
經濟系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
醫學科學系學會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
畢業生聯誼會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
教科系系學會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
學生會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
科技管理學院學士班國際學程學生會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
工學院學士班,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
資工系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
工工系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
工科系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
數學系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
物理系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
化學系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
材料系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
化工系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
動機系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
電機系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
中文系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
外語系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
生科系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
醫環系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
教育學程學會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
計財系會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
理學院學士班,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
科管院學士班,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
人社院學士班,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
原科院學士班,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
光電所學生會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
電資院學士班,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
清華學院學士班,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
特教系系學會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
運動科學系系學會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
幼教系系學會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
心諮系系學會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
音樂系系學會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
藝設系系學會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
英教系系學會,自治性,114,https://cms.club.nthu.edu.tw/public/cl/clubs.php?cat=1,
