club_name,category,year,source_url,notes
中部地區校友會,綜合性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區；英文名 Central Region Alumni Association
醫學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
日出電影社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
國立陽明交通大學棒球社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 NYCU Baseball Club
陽明軟式網球社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 soft tennis club
陽明劍道社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 NYCU Kedo Club
國立陽明交通大學皮藝社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 NYCU Leathercraft
調酒文化研究社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
羊大隨彩社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 Painting Club
陽明合唱團,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
陽明攝影社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 NYCU Photography Club
民族舞蹈社,康樂性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 YMFD
圍棋社,康樂性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
陽明魔術社,康樂性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 The Illusionatti Club
勵青社,服務性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 IF Club
