event_id,canonical_id,notes
evt_061836350f44,evt_35390d3f3ad1,2026-09-06 手動核對原文與海報：同一營期的宣傳
evt_40e167110b46,evt_35390d3f3ad1,2026-09-06 手動核對原文與海報：同一營期的宣傳
evt_cda02577d2d5,evt_35390d3f3ad1,2026-09-06 手動核對原文與海報：同一營期的宣傳
evt_3971bb91c5b9,evt_35390d3f3ad1,2026-09-06 手動核對原文與海報：同一營期的宣傳
evt_dc4379318192,evt_35390d3f3ad1,2026-09-06 手動核對原文與海報：同一營期的宣傳
evt_9f8ab369bb7e,evt_35390d3f3ad1,2026-09-06 手動核對原文與海報：同一營期的宣傳
evt_5c0130a72819,evt_35390d3f3ad1,2026-09-06 手動核對原文與海報：同一營期的宣傳
evt_bf8edb5035c3,evt_35390d3f3ad1,2026-09-06 手動核對原文與海報：同一營期的宣傳
evt_baa3125dd43e,evt_35390d3f3ad1,2026-09-06 手動核對原文與海報：同一營期的宣傳
evt_1ced4f8b416b,evt_35390d3f3ad1,2026-09-06 手動核對原文與海報：同一營期的宣傳
evt_103bb205c4fa,evt_4d6a96e3fe86,2026-09-06 手動核對：同一招募表單與 9/2–9/7 企業專案生面試
evt_d69d68598a1e,evt_4d6a96e3fe86,2026-09-06 手動核對：同一招募表單與 9/2–9/7 企業專案生面試
evt_704c0c92f30b,evt_4d6a96e3fe86,2026-09-06 手動核對：同一招募表單與 9/2–9/7 企業專案生面試
evt_a518246fe71b,evt_4d6a96e3fe86,2026-09-06 手動核對：同一招募表單與 9/2–9/7 企業專案生面試
