event_id,field,value,notes
evt_c3cad1e636a0,status,rejected,與 evt_1eea2302d1dd 同場（課外組 FB/IG 同發 9/9 博覽會，標題 5 字未觸發包含式去重）
evt_6a11c9d56df5,title,交大美術社｜9/9 圖書館前社博攤位,區分課外組發布的 2026 陽明交大社團博覽會主活動與其他社團攤位
evt_904e7705c286,campus,nycu-yangming,陽明軟式網球社社博攤位在陽明校區活動中心廣場（抽取器把活動中心猜成光復）
evt_49fff4d3cf90,campus,nycu-yangming,山下網球場在陽明校區
evt_fb8c85b48be7,campus,nycu-yangming,山下網球場在陽明校區
evt_35390d3f3ad1,title,2026 暑北營｜北友會迎新宿營,2026-09-06 手動核對；暑北依 DcmGh0HzIEQ 與倒數貼文，DTDA 依 DcnmoYbGbjE 最新時程；日期含末日
evt_35390d3f3ad1,school,both,2026-09-06 手動核對；暑北依 DcmGh0HzIEQ 與倒數貼文，DTDA 依 DcnmoYbGbjE 最新時程；日期含末日
evt_35390d3f3ad1,registration_url,https://forms.gle/r4zo4hN9YbjJUsg49,2026-09-06 手動核對；暑北依 DcmGh0HzIEQ 與倒數貼文，DTDA 依 DcnmoYbGbjE 最新時程；日期含末日
evt_35390d3f3ad1,registration_deadline,2026-08-28T23:59:00+08:00,2026-09-06 手動核對；暑北依 DcmGh0HzIEQ 與倒數貼文，DTDA 依 DcnmoYbGbjE 最新時程；日期含末日
evt_35390d3f3ad1,end_at,2026-09-05T23:59:59+08:00,2026-09-06 手動核對；暑北依 DcmGh0HzIEQ 與倒數貼文，DTDA 依 DcnmoYbGbjE 最新時程；日期含末日
evt_35390d3f3ad1,description,交大北區校友會舉辦的三日迎新宿營，對象為交大 119 級與清大 30 級新生。活動包含團康、解謎、晚會與舞會表演；費用 2700 元，含營服、餐費及保險，三人團報每人折 100 元。報名已於 8/28 23:59 截止，營前通知已寄出，參加者請查收信箱。,2026-09-06 手動核對；暑北依 DcmGh0HzIEQ 與倒數貼文，DTDA 依 DcnmoYbGbjE 最新時程；日期含末日
evt_4d6a96e3fe86,title,DTDA 第三屆企業專案生招募面試,2026-09-06 手動核對；暑北依 DcmGh0HzIEQ 與倒數貼文，DTDA 依 DcnmoYbGbjE 最新時程；日期含末日
evt_4d6a96e3fe86,category,徵才,2026-09-06 手動核對；暑北依 DcmGh0HzIEQ 與倒數貼文，DTDA 依 DcnmoYbGbjE 最新時程；日期含末日
evt_4d6a96e3fe86,registration_deadline,2026-08-31T23:59:00+08:00,2026-09-06 手動核對；暑北依 DcmGh0HzIEQ 與倒數貼文，DTDA 依 DcnmoYbGbjE 最新時程；日期含末日
evt_4d6a96e3fe86,end_at,2026-09-07T23:59:59+08:00,2026-09-06 手動核對；暑北依 DcmGh0HzIEQ 與倒數貼文，DTDA 依 DcnmoYbGbjE 最新時程；日期含末日
evt_4d6a96e3fe86,summary,DTDA 第三屆企業專案生面試期間為 9/2–9/7，個別時間與地點依面試通知。,2026-09-06 手動核對；暑北依 DcmGh0HzIEQ 與倒數貼文，DTDA 依 DcnmoYbGbjE 最新時程；日期含末日
evt_4d6a96e3fe86,description,清大設計思考與數據分析社第三屆社員招募包含研習生與企業專案生。依最新延長公告，報名表於 8/31 23:59 截止；9/1 寄發研習生錄取結果及企業專案生面試通知。企業專案生面試期間為 9/2–9/7，可採實體或線上形式，個別場次時間與地點依主辦通知；9/9 發送專案生錄取結果。此為面試安排期間，非每日全天開放的活動。,2026-09-06 手動核對；暑北依 DcmGh0HzIEQ 與倒數貼文，DTDA 依 DcnmoYbGbjE 最新時程；日期含末日
