page,name,school,org_type,category_hint,active,notes
nthu.tw,國立清華大學,nthu,official,綜合,true,search result facebook.com/nthu.tw
nthuarts,清大藝術中心(藝術文化總中心),nthu,official,藝文,true,search result facebook.com/nthuarts; KKTIX nthuarts.kktix.cc 同名佐證
NTHULIB,清大圖書館,nthu,official,藝文,true,search result facebook.com/NTHULIB; 常辦講座展覽
nthusa,清華大學學生會,nthu,official,綜合,true,search result facebook.com/nthusa; 21k likes
NTHU.GSA,清華大學研究生聯合會,nthu,official,綜合,true,search result facebook.com/NTHU.GSA; 頁面資訊停在107學年; possibly-inactive
peo.nthu,清大體育室,nthu,official,運動,true,search result facebook.com/peo.nthu
nthurcollege,清華書院招生中心(住宿書院),nthu,official,綜合,true,search result facebook.com/nthurcollege; IG rcollege.nthu 同單位
nthualumni,清大校友中心,nthu,official,綜合,true,search result facebook.com/nthualumni
https://www.facebook.com/profile.php?id=100057749195868,清大全球事務處(四海同方),nthu,official,國際,true,page-id 形式; 搜尋結果為 facebook.com/p/Global-Affairs-...-100057749195868; unverified
nthuobs,清華大學天文台,nthu,official,學術,true,search result facebook.com/nthuobs
yuehan.nthu,月涵文學獎,nthu,club,藝文,true,search result facebook.com/yuehan.nthu; 中文系與課指組指導之活動品牌
NTHUDAD,清大藝術與設計學系,nthu,department,藝文,true,search result facebook.com/NTHUDAD
NTHUDME,清大音樂學系,nthu,department,音樂,true,search result facebook.com/NTHUDME
ipta.nthu,清華大學藝術學院學士班,nthu,department,藝文,true,search result facebook.com/ipta.nthu
NTHU.HTC.DELT,清大教育與學習科技學系,nthu,department,學術,true,search result facebook.com/NTHU.HTC.DELT
econstudents,經濟系會,nthu,department,學術,true,search result facebook.com/econstudents
nthu.cssa,清大資工系學會,nthu,department,學術,true,search result facebook.com/nthu.cssa; IG 清單 nthu_cssa 同單位
NTHUEESA,電機系會,nthu,department,學術,true,search result facebook.com/NTHUEESA; IG 清單 nthu_eesa 同單位
nthueecssa,清華電資院學士班系學會,nthu,department,學術,true,search result facebook.com/nthueecssa
nthueeoffice,清大電機系(系官方),nthu,department,學術,true,search result facebook.com/nthueeoffice
csofficeNTHU,清大資工系(系官方),nthu,department,學術,true,handle 來自搜尋結果 facebook.com/csofficeNTHU; 頁面名稱 unverified
NTHUWB,清華大學管樂社,nthu,club,音樂,true,search result facebook.com/NTHUWB; IG 清單 nthu_windband 同社團
nthuecho,清大迴聲社(熱音),nthu,club,音樂,true,search result facebook.com/nthuecho; 另有同名 FB 社團(group)
MountClubNTHU,清華大學登山社,nthu,club,運動,true,search result facebook.com/MountClubNTHU; 官網 nthumountain.com
nthuphotoclub,清大攝影社,nthu,club,藝文,true,search result facebook.com/nthuphotoclub
nthuastro,清大天文社,nthu,club,學術,true,search result facebook.com/nthuastro; linktr.ee/Astroclub_nthu 同社團
NthuStarKids,清華大學星空之子天文營,nthu,club,營隊,true,search result facebook.com/NthuStarKids; 天文社主辦營隊
nthudmcc,清大數位媒體創作社,nthu,club,藝文,true,search result facebook.com/nthudmcc; IG 同名
NTHUdramaclub,清華戲劇社,nthu,club,藝文,false,handle 來自搜尋結果 zh-tw.facebook.com/NTHUdramaclub; unverified；2026-08 sweep：登入瀏覽器實測頁面已消失（另有倒社公告佐證），停用
nthu.magic.club,清大魔術社,nthu,club,藝文,true,search result facebook.com/nthu.magic.club; 每年清交聯合慈善晚會(ACCUPASS 2024/2025)
nthuaiyu,清華大學愛慾實務社,nthu,club,生活,true,search result facebook.com/nthuaiyu
ghanaeco,清華大學國際志工迦納團,nthu,club,服務,true,search result facebook.com/ghanaeco
nthutanzania,清華大學國際志工坦尚尼亞團,nthu,club,服務,true,search result facebook.com/nthutanzania; 出團季節性發文
nepalnthu,清華大學國際志工尼泊爾團,nthu,club,服務,true,search result facebook.com/nepalnthu; 出團季節性發文
nhcueguitarclub,清華大學南大校區吉他社,nthu,club,音樂,true,search result facebook.com/nhcueguitarclub; 原竹教大社團; possibly-inactive
MeiChuGamePreparatoryCommittee,梅竹籌備委員會,both,club,賽事,true,search result facebook.com/MeiChuGamePreparatoryCommittee; 11k likes; 2026梅竹 3/6-3/8
HackMeiChu,梅竹黑客松,both,club,學術,true,search result facebook.com/HackMeiChu; 10k likes
TEDxNTHU,TEDxNTHU,nthu,club,講座,true,FB handle unverified; TED.com 有活動頁但搜尋未直接命中粉專
TEDxNYCU,TEDxNYCU,nycu,club,講座,true,search result facebook.com/TEDxNYCU
nycu.taiwan,國立陽明交通大學,nycu,official,綜合,true,search result facebook.com/nycu.taiwan; IG 同名
NYCUArtsCenter,陽明交大藝文中心,nycu,official,藝文,true,search result facebook.com/NYCUArtsCenter; KKTIX nycuartscenter.kktix.cc 同名佐證
NYCU.DEA.CT,陽明交大課外活動輔導組(交大校區),nycu,official,綜合,true,search result facebook.com/NYCU.DEA.CT
nymueas,陽明交大課外活動輔導組(陽明校區),nycu,official,綜合,true,search result facebook.com/nymueas; 台北陽明校區
osa.nycu,陽明交大學生事務處,nycu,official,綜合,true,search result facebook.com/osa.nycu
NYCULIB,陽明交大圖書館,nycu,official,藝文,true,search result facebook.com/NYCULIB; 21k likes
YMLIB,國立陽明大學圖書館(陽明校區),nycu,official,藝文,true,search result facebook.com/YMLIB; 台北; 合校前名稱; possibly-inactive
NYCUStudentAssociation,國立陽明交通大學學生會,nycu,official,綜合,true,search result facebook.com/NYCUStudentAssociation
NYCUSACTCampus,交大學聯會(陽明交大學生會-交通分會),nycu,official,綜合,true,search result facebook.com/NYCUSACTCampus; 30k likes; linktr.ee/nycusactcampus 佐證
NYCUGrad.ChiaoTung,畢業生聯誼會,nycu,official,綜合,true,search result facebook.com/NYCUGrad.ChiaoTung
nycualumni,陽明交大校友總會,nycu,official,綜合,true,search result facebook.com/nycualumni; IG 同名
nycusport,交大校區體育室運動推廣班,nycu,official,運動,true,search result facebook.com/nycusport
NYCUAMCP,陽明交大藝術與音樂跨域學程,nycu,official,藝文,true,search result facebook.com/NYCUAMCP
nctu.edu.tw,國立交通大學(合校前官方),nycu,official,綜合,true,search result facebook.com/nctu.edu.tw; 2021合校後可能停更; possibly-inactive
NCTUartscenter,交大藝術中心(合校前),nycu,official,藝文,false,handle 來自搜尋結果 m.facebook.com/NCTUartscenter; 已併入 NYCUArtsCenter; possibly-inactive; unverified; 與 NYCUArtsCenter 同一專頁（舊名重導向），停用避免重複
nctucs.assoc,資訊工程學系學生會,nycu,department,學術,true,search result facebook.com/nctucs.assoc; IG 清單 nctu_csunion 同單位
csnctu,交大資工粉絲團,nycu,department,學術,true,search result facebook.com/csnctu
nycuEEStudentAssociation,電機工程學系學生會,nycu,department,學術,true,search result facebook.com/nycuEEStudentAssociation; linktr.ee/nyeecu 佐證
nycuiee,陽明交大電子工程學系暨電子研究所,nycu,department,學術,true,search result facebook.com/nycuiee
music.nycu,陽明交大音樂研究所,nycu,department,音樂,true,search result facebook.com/music.nycu
NYCUDCAT,陽明交大傳播與科技學系,nycu,department,學術,true,search result facebook.com/NYCUDCAT; IG 清單 nycudcat 同單位
NYCUICS,陽明交大傳播研究所,nycu,department,學術,true,search result facebook.com/NYCUICS; IG 清單 nycuics.1991 同單位
nycumedstu,陽明交大醫學系系學會,nycu,department,學術,true,search result facebook.com/nycumedstu; 台北陽明校區
nctuececamp,交大電機營,nycu,club,營隊,true,search result facebook.com/nctuececamp; 營隊帳號季節性發文
NCTUPOPDANCE,交大熱舞社,nycu,club,舞蹈,true,search result facebook.com/NCTUPOPDANCE; IG 清單 nycu_ctpd 同社團
nycugtclub,交大風城吉他社,nycu,club,音樂,true,search result facebook.com/nycugtclub; linktr.ee/nycuguitar 佐證
nctustarvoice,交大星聲社(熱音),nycu,club,音樂,true,search result facebook.com/nctustarvoice; IG 清單 nycustarvoice 同社團
NCTUAstroClub,交大天文社,nycu,club,學術,true,handle 來自第三方列表 schoolandcollegelistings.com; unverified
NCTUBG,交大桌遊社,nycu,club,桌遊,true,search result facebook.com/NCTUBG; IG nycubgc 同社團
YMBoardGameClub,陽明桌遊社,nycu,club,桌遊,true,search result facebook.com/YMBoardGameClub; 台北陽明校區; 規模小(約160讚)
NTHU.GleeClub,清大合唱團,nthu,club,音樂性,true,官方社團系統cms.club.nthu.edu.tw登錄網站
acappellaandmusiccomposeclub,清大人聲樂創社,nthu,club,音樂性,true,搜尋見FB粉專「清大人聲樂創社/清大阿卡」
nthu.piano.club,清大鋼琴社,nthu,club,音樂性,true,FB粉專「清華大學鋼琴社 NTHU Piano Club」；官方系統另登錄FB社團groups/332700240091169
nthustrings4ever,清大弦樂社,nthu,club,音樂性,true,官方社團系統登錄網站
NTHUGRC,清大直笛魅力四社,nthu,club,音樂性,true,官方社團系統登錄；FB搜尋確認
NTHUGuoyue,清大國樂社,nthu,club,音樂性,true,FB搜尋「清華大學國樂社」
nthuharmonica,清大口琴社,nthu,club,音樂性,true,官方社團系統登錄網站
NTHUXNYCUUkuleleClub,清大烏克麗麗社,nthu,club,音樂性,true,官方社團系統登錄網站
nthucookingclub,清大烹飪社,nthu,club,技藝性,true,FB搜尋（1919讚）；linktr.ee/nthucookingclub
NTHUmahjong,清大日本麻將研究社,nthu,club,技藝性,true,FB搜尋「國立清華大學日本麻將研究社」；官方系統另登錄FB社團groups/172633466911264；未見IG
nthucheckmate,清大西洋棋社,nthu,club,技藝性,true,官方社團系統登錄網站；未見IG
https://www.facebook.com/p/%E6%B8%85%E5%A4%A7%E7%94%9C%E9%BB%9E%E7%A4%BE-100057334394909/,清大RoS甜點廚房,nthu,club,技藝性,true,FB搜尋粉專「清大甜點社」（1501讚）
NTHUbridge,清大橋藝社,nthu,club,技藝性,true,官方社團系統登錄；FB搜尋2025貼文活躍；未見IG
https://www.facebook.com/people/%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%B1%A1%E6%A3%8B%E7%A4%BE/100064703105847/,清大象棋社,nthu,club,技藝性,true,FB搜尋粉專「清華大學象棋社」；未見IG
nthudrinks,清大飲品藝術研習社,nthu,club,技藝性,true,官方社團系統登錄；FB頁名「清大飲品社 NTHU Beverage」
NTHUBoardgameClub,清大桌上遊戲社,nthu,club,技藝性,true,官方社團系統登錄；FB頁名「清大桌上遊戲社 TsingHua Boardgame Club」
NTHUCCGC,清大卡牌遊戲社,nthu,club,技藝性,true,FB搜尋「清大卡牌遊戲社 NTHU CCGC」
nthulemon,清大清檸新聞小組,nthu,club,技藝性,true,FB搜尋粉專「清檸」（學生會新聞小組；1093讚）
nthu.maker,清大自造者社,nthu,club,藝術性,true,官方社團系統登錄網站
https://www.facebook.com/100086091788170/,清大遊戲創作社,nthu,club,藝術性,true,FB搜尋粉專「清大遊戲創作社」（95讚）；另有FB社團groups/nthugdc
NTHUACGclub2.0,清大光畫社,nthu,club,藝術性,true,官方社團系統登錄；FB頁名「清大光畫社2.0」（1034讚）；主IG未見（僅活動帳號lightart_maidcafe）
choreography.club,清大當代舞蹈社,nthu,club,藝術性,true,官方社團系統登錄網站
nthucalligraphy,清大書藝社,nthu,club,藝術性,true,官方社團系統登錄網站
nthufolkdance,清大世界民族舞蹈社,nthu,club,藝術性,true,官方社團系統登錄；另有FB社團groups/178926258812311
nthupdc,清大熱門舞蹈社,nthu,club,藝術性,true,官方社團系統登錄網站
nthugpc,清大光舞藝術社,nthu,club,藝術性,true,官方社團系統登錄網站
nhcue.creativity.workshop,清大花格子手作社,nthu,club,藝術性,true,FB搜尋粉專「清大花格子手作社」（南大校區前竹師帳號）
NTHUPekingOpera,清大京劇社,nthu,club,藝術性,true,FB搜尋「清華大學京劇社 NTHU Peking Opera」（327讚）
https://www.facebook.com/清大-射箭社-105085940859544/,清大射箭社,nthu,club,體育性A,true,清大課外活動組官方社團名錄直接連結此粉專
https://www.facebook.com/NTHUKB/,清大散打搏擊社,nthu,club,體育性A,true,清大課外活動組官方社團名錄直接連結此粉專
https://www.facebook.com/NTHUYOGA/,清大瑜珈社,nthu,club,體育性A,true,FB粉專「清大瑜伽 NTHU Yoga」；搜尋結果佐證
https://www.facebook.com/nthudivingclub/,清大潛水社,nthu,club,體育性A,true,清大課外活動組官方社團名錄直接連結此粉專
https://www.facebook.com/nthushootingsport/,清大空氣槍射擊社,nthu,club,體育性B,true,FB粉專「國立清華大學空氣槍射擊社」；頁面提及借不到槍枝與場地、暫無法招生，疑似停擺
https://www.facebook.com/NTHUparkour/,清大跑酷社,nthu,club,體育性B,true,清大課外活動組官方社團名錄直接連結此粉專
https://www.facebook.com/2017.nthu.tainan,清大南友會,nthu,club,綜合性,true,清大學務處「紫荊一日營」公告列為台南校友會粉專
https://www.facebook.com/groups/NTHUOCSA,清大僑生聯誼會,nthu,club,綜合性,true,清大全球事務處列為「NTHUOCSA清大僑聯」FB社團
https://www.facebook.com/kgacamp2022,清大雄友會,nthu,club,綜合性,true,清大學務處「紫荊一日營」公告列為高雄校友會粉專
https://www.facebook.com/nthuhkmsa/,清大港澳同學會,nthu,club,綜合性,true,FB粉專「清大港澳同學會 NTHU HKMAC」；清大全球事務處頁面亦列出
