club_name,category,school,notes
日出電影社,學藝性社團,nycu,陽明校區
國立陽明交通大學皮藝社,學藝性社團,nycu,陽明校區；英文名 NYCU Leathercraft
調酒文化研究社,學藝性社團,nycu,陽明校區
羊大隨彩社,學藝性社團,nycu,陽明校區；英文名 Painting Club
陽明合唱團,學藝性社團,nycu,陽明校區
民族舞蹈社,康樂性社團,nycu,陽明校區；英文名 YMFD
舞臺效果藝術社,學藝性社團,nycu,陽明校區；英文名 Stage Lighting Effects Art Club
火舞社,康樂性社團,nycu,光復校區；英文名 Fire Dance Club
鋼琴社(陽明校區),學藝性社團,nycu,陽明校區；英文名 NYCU Piano Club (Yang Ming)
烘焙研究社,學藝性社團,nycu,陽明校區；英文名 Baking Club
愛杏管弦樂團,學藝性社團,nycu,陽明校區；英文名 Aising Orchestra
咸池國樂社,學藝性社團,nycu,陽明校區；英文名 YM Chinese Orchestra
蛋糕社,學藝性社團,nycu,光復校區
虛擬偶像社,學藝性社團,nycu,光復校區；英文名 VTuber Club
魔術方塊社,學藝性社團,nycu,光復校區；英文名 Rubik&#39;s Cube Club
管樂團,音樂戲劇性社團,nycu,光復校區
達磨禪學社,學藝性社團,nycu,光復校區
美術社,學藝性社團,nycu,光復校區
藝趣節團隊,學藝性社團,nycu,光復校區
飲料調製社,學藝性社團,nycu,光復校區
桌上遊戲社(交大校區),康樂性社團,nycu,光復校區
書法社,學藝性社團,nycu,光復校區
創客俱樂部,學藝性社團,nycu,光復校區
漫畫社,學藝性社團,nycu,光復校區
動畫社,學藝性社團,nycu,光復校區
陶藝社,學藝性社團,nycu,光復校區
嘻哈文化研究社,音樂戲劇性社團,nycu,光復校區
唱片騎師社,音樂戲劇性社團,nycu,光復校區
管弦樂團,音樂戲劇性社團,nycu,光復校區
烏克麗麗社,音樂戲劇性社團,nycu,光復校區
數位音樂創作社,音樂戲劇性社團,nycu,光復校區
國樂社,音樂戲劇性社團,nycu,光復校區
友聲合唱團,音樂戲劇性社團,nycu,光復校區
布袋戲社,音樂戲劇性社團,nycu,光復校區
鋼琴社（交大校區）,音樂戲劇性社團,nycu,光復校區
音樂遊戲社,康樂性社團,nycu,光復校區
象棋社,康樂性社團,nycu,光復校區
橋藝社(交大校區),康樂性社團,nycu,光復校區
口琴社,學藝性社團,nycu,陽明校區
熱門音樂社,學藝性社團,nycu,陽明校區；英文名 Rock music club
