platform,username,name,school,org_type,category_hint,active,notes
instagram,nycumedsa,國立陽明交通大學醫學系系學會,nycu,department,學生自治組織,true,搜尋結果標題確認（第32屆）
facebook,https://www.facebook.com/nycumedstu/,陽明交大醫學系系學會,nycu,department,學生自治組織,true,FB 粉專搜尋結果確認
instagram,nycu_ctsa,交大學聯會（陽明交大學生會-交通分會）,nycu,official,學生會,true,linktr.ee/nycusactcampus 佐證；約 8.4k 追蹤
facebook,https://www.facebook.com/NYCUSACTCampus/,交大學聯會（陽明交大學生會-交通分會）,nycu,official,學生會,true,linktree 與搜尋結果佐證
instagram,nycu_ymsa,陽明學生會（陽明交大學生會-陽明分會）,nycu,official,學生會,true,搜尋結果標題確認；約 3.3k 追蹤
facebook,https://www.facebook.com/NYCUCTSC/,交大學生議會（陽明交大學生會-交通分會）,nycu,official,學生會,true,搜尋結果確認；官網 nycuctsc.com 目前無法連線
facebook,https://www.facebook.com/nycubwy/,陽明交大福智青年社,nycu,club,學術性社團,true,FB 粉專搜尋結果確認
instagram,koinonia_hsinchu,Koinonia Hsinchu 清交柏克萊學生團契,nycu,club,學術性社團,true,清交聯合團契；官網 koinonia-hsinchu.org 佐證
facebook,https://www.facebook.com/koinoniahsinchu/,Koinonia Hsinchu 清交柏克萊學生團契,nycu,club,學術性社團,true,清交聯合團契
facebook,https://www.facebook.com/nycuic2021/,陽明交通大學投資理財社,nycu,club,學術性社團,true,FB 粉專「NYCU Investment Club」搜尋結果確認
instagram,nctu.railcamp,交通大學鐵道文化營,nycu,club,學術性社團,true,unverified：僅搜得鐵道文化營（鐵研會主辦活動）帳號，未見社團主帳號
facebook,https://www.facebook.com/282560961848806,交大天文社 NCTU Astronomy Club,nycu,club,學術性社團,true,unverified：據 schoolandcollegelistings 鏡像之 FB 專頁 ID，可能已停更
instagram,nycu_me,國立陽明交通大學機械系,nycu,department,學生自治組織,true,unverified：帳號名為「機械系」，可能為系方帳號而非系學會
instagram,nycuhsssa,陽明交通大學人社系學會,nycu,department,學生自治組織,true,搜尋結果標題確認
instagram,nycu_imf,陽明交大資財系學會,nycu,department,學生自治組織,true,搜尋結果標題確認
facebook,https://www.facebook.com/IMFNCTU/,國立交通大學資財系,nycu,department,學生自治組織,true,unverified：頁名為「資財系」，可能為系方粉專而非系學會
instagram,nycu_tlm,陽明交大運管系學會,nycu,department,學生自治組織,true,搜尋結果標題確認；系學會官網 satlm.nctu.edu.tw 佐證
facebook,https://www.facebook.com/NYCUTLM/,交大運管系學會,nycu,department,學生自治組織,true,搜尋結果確認
instagram,nctu_bio_tech,國立陽明交通大學生物科技系學會,nycu,department,學生自治組織,true,搜尋結果標題確認（第27屆）
facebook,https://www.facebook.com/nctudbtsu/,交大生物科技系系學會,nycu,department,學生自治組織,true,搜尋結果確認：「交大生技系是你的第二個家」
instagram,nycu_fl,交大外文系學會,nycu,department,學生自治組織,true,搜尋結果標題確認
facebook,https://www.facebook.com/NYCUFL/,交大外文系學會,nycu,department,學生自治組織,true,搜尋結果確認；另有粉絲團 NYCUFLofficial
instagram,nycu_dac,陽明交大應用化學系系學會,nycu,department,學生自治組織,true,linktr.ee/nycudac 佐證
facebook,https://www.facebook.com/nctuac108/,國立交通大學應用化學系系學會,nycu,department,學生自治組織,true,linktr.ee/nycudac 佐證
instagram,ymmt_student_association,陽明醫學生物技術暨檢驗學系系學會,nycu,department,學生自治組織,true,搜尋結果標題確認（第29屆）
