name,aliases,campus,lat,lng
羽球館,Badminton Building,nycu-guangfu,24.78718,121.001296
綜合球館,Composite Sports Building,nycu-guangfu,24.789803,120.99503
體育館,Gymnasium,nycu-guangfu,24.788637,120.995765
竹軒宿舍,Chu-Hsuan Female Dormitory 1,nycu-guangfu,24.789569,120.99813
科學一館,Science Building 1,nycu-guangfu,24.787987,120.99676
中正堂,Chung Cheng Auditorium,nycu-guangfu,24.788401,120.998565
工程一館,Engineering Building 1,nycu-guangfu,24.788687,120.998072
管理一館,,nycu-guangfu,24.787628,121.000557
工程三館,Engineering Building 3,nycu-guangfu,24.786934,120.997359
工程四館,Engineering Building 4,nycu-guangfu,24.786993,120.996764
科學二館,Science Building 2,nycu-guangfu,24.789007,120.996562
綜合一館,,nycu-guangfu,24.784708,120.997409
管理二館,Management Building 2,nycu-guangfu,24.785329,120.998496
工程六館,Engineering Building 6,nycu-guangfu,24.785936,120.995955
電子資訊大樓,Microelectronics and Information Systems Research Center,nycu-guangfu,24.786629,121.001742
人社二舘,HA Building 2,nycu-guangfu,24.787077,121.000089
浩然圖書資訊中心,Library and Information Center,nycu-guangfu,24.786577,120.998406
工程五館,,nycu-guangfu,24.7859,120.997313
學生八舍,Student Dormitory 8,nycu-guangfu,24.785282,120.999623
交映樓,CPT Building,nycu-guangfu,24.786775,120.995905
田家炳光電大樓,Tin Ka-Ping Photonic Building,nycu-guangfu,24.787427,120.99571
資訊技術服務中心,Information Technology Service Center,nycu-guangfu,24.787824,120.997741
女二舍A棟,Female Student Dormitory 2A,nycu-guangfu,24.784568,120.999653
女二舍B棟,Female Student Dormitory 2B,nycu-guangfu,24.784705,120.999117
防災工程研究中心,,nycu-guangfu,24.783202,120.998157
人社一館,HA Building 1,nycu-guangfu,24.787394,120.998734
行政大樓,Administration Building,nycu-guangfu,24.78779,120.999131
環境工程研究所,,nycu-guangfu,24.790347,120.996143
學生七舍,Student Dormitory 7,nycu-guangfu,24.785741,120.999367
水質淨化廠,,nycu-guangfu,24.790744,120.996741
學生九舍,Student Dormitory 9,nycu-guangfu,24.789863,120.996606
交誼廳與自習室,Common Room & Self-Study Room,nycu-guangfu,24.789936,120.99671
研一舍,,nycu-guangfu,24.789819,120.997514
學生十舍,Student Dormitory 10,nycu-guangfu,24.790001,120.996798
學生十一舍,,nycu-guangfu,24.79005,120.997362
研二舍,Graduate Student Dormitory 2,nycu-guangfu,24.784784,120.995332
學十二舍,Student Dormitory 12,nycu-guangfu,24.78421,120.995652
學生十三舍,Student Dormitory 13,nycu-guangfu,24.783858,120.996296
固態電子系統大樓,Solid-State Electronics Building,nycu-guangfu,24.786108,121.000894
第三招待所,3rd Guest House,nycu-guangfu,24.789156,120.999333
土木結構實驗室,Civil Engineering Lab,nycu-guangfu,24.783709,120.998117
服務大樓,,nycu-guangfu,24.783264,120.997474
人社三館,HA Building 3,nycu-guangfu,24.785977,120.999864
司令台,Stage,nycu-guangfu,24.788889,120.995193
游泳館,Swimming Plaza,nycu-guangfu,24.789778,120.995704
奈米電子研究大樓,Nano Electronics Research Building,nycu-guangfu,24.785291,121.000776
工程二館,Engineering Building 2,nycu-guangfu,24.788769,120.997434
第二餐廳,,nycu-guangfu,24.789211,120.997261
學生活動中心,,nycu-guangfu,24.786541,120.999631
茶曇,,nycu-guangfu,24.78917,120.997251
拉亞漢堡,Laya Burger,nycu-guangfu,24.789144,120.997276
Morning House早餐,Morning-House Breakfasts,nycu-guangfu,24.78914,120.997373
阿嬤の飯桶,,nycu-guangfu,24.789199,120.997433
北大門,North Gate,nycu-guangfu,24.789238,120.999913
研三舍,,nycu-guangfu,24.783783,120.997189
小木屋鬆餅,,nycu-guangfu,24.787633,120.997517
24k,,nycu-guangfu,24.786079,120.998367
南大門,,nycu-guangfu,24.78452,120.993433
